Regulator	Target	MI
miR-21-5p	miR-126-5p	0.4757809154013417
miR-21-5p	miR-24-3p	0.734289492874769
miR-21-5p	CCL3	0.15530873858221117
miR-21-5p	CCL20	0.10930339242400589
miR-21-5p	miR-324-5p	0.2729484692695623
miR-21-5p	AXIN1	0.46240562878404656
miR-21-5p	IL16	0.16054554169661817
miR-21-5p	VEGFA	0.14628884023355315
miR-145-5p	CD40	0.16039188684309558
miR-145-5p	CXCL8	0.1366183744340077
miR-145-5p	miR-30b-5p	0.6128771359941974
miR-145-5p	miR-24-3p	0.49886670665833677
miR-145-5p	CCL19	0.0937098836777448
miR-145-5p	SLAMF1	0.10470066932005828
miR-145-5p	TNFRSF9	0.15301316289683697
miR-145-5p	CD40LG	0.3896089448257021
miR-143-3p	miR-192-5p	0.0978177741531514
miR-143-3p	CCL11	0.22637502624031036
miR-143-3p	miR-28-5p	0.27557109177024586
miR-143-3p	PTX3	0.13013809287731348
miR-143-3p	REN	0.10679285339941647
miR-143-3p	miR-122-5p	0.10957224320895786
miR-143-3p	miR-19b-3p	0.16620965947010902
miR-574-3p	KLK6	0.12559248294397474
miR-574-3p	MB	0.09590642372815683
miR-574-3p	TNFSF11	0.15569817377549455
miR-574-3p	CCL25	0.22908040981101596
miR-574-3p	PGF	0.13147045042533012
miR-574-3p	miR-223-3p	0.48888421510566893
miR-574-3p	AGRP	0.12998494636746738
miR-574-3p	HBEGF	0.1806826627667748
miR-574-3p	miR-16-5p	0.44244802965940533
miR-191-5p	miR-28-5p	0.15741637427078548
miR-191-5p	RNY4-3p	0.708155729411474
miR-191-5p	miR-223-3p	0.6144405343958157
miR-191-5p	miR-92a-3p	0.49512892692244836
miR-191-5p	SRC	0.39378869981998665
miR-191-5p	TNFSF14	0.11303130117921167
miR-191-5p	RNY4-5p	0.7846871578452479
miR-191-5p	miR-375	0.17411528945066124
miR-24-3p	miR-21-5p	0.734289492874769
miR-24-3p	MMP10	0.11920880515810595
miR-24-3p	TNFRSF1A	0.18708143993508575
miR-24-3p	miR-223-3p	1.1610005347321666
miR-24-3p	TNFRSF11B	0.1581552107270765
miR-24-3p	miR-126-3p	0.9614156699254917
miR-24-3p	miR-27b-3p	0.2927462894630155
miR-24-3p	miR-93-5p	0.7321088718321258
miR-27b-3p	CCL13	0.11479075351311163
miR-27b-3p	PRL	0.12032660425862485
miR-27b-3p	CST5	0.1044809230083823
miR-27b-3p	miR-24-3p	0.2927462894630155
miR-27b-3p	S100A12	0.09688701063473104
miR-27b-3p	MUC16	0.10984208556639352
miR-27b-3p	TNFRSF10B	0.09892130349181283
miR-27b-3p	TNFRSF1B	0.14805242055682388
miR-27b-3p	FGF19	0.08997945397713991
miR-27b-3p	AGRP	0.09454610724083956
miR-27b-3p	REN	0.13896244559680593
miR-27b-3p	HBEGF	0.11262793444637964
miR-486-5p	miR-93-5p	0.5397927625624872
miR-486-5p	PGF	0.19306815860176663
miR-486-5p	MMP12	0.09021080124612091
miR-486-5p	miR-16-5p	0.49998720322614076
miR-93-5p	miR-20b-5p	0.5946821155056972
miR-93-5p	miR-24-3p	0.7321088718321258
miR-93-5p	miR-486-5p	0.5397927625624872
miR-93-5p	CTSL	0.09983312382592757
miR-93-5p	CHI3L1	0.1341950981544242
miR-222-3p	miR-140-5p	0.7094807189642047
miR-222-3p	CDCP1	0.09515027969926226
miR-222-3p	miR-19b-3p	0.6947831358246184
miR-222-3p	miR-26a-5p	0.7044710401381362
miR-222-3p	SELE	0.12644949277325157
miR-222-3p	IL17C	0.10155895317609875
miR-29a-3p	CXCL6	0.1423713802135902
miR-29a-3p	miR-223-3p	0.5571600329409598
miR-19b-3p	ADM	0.14165463225058517
miR-19b-3p	miR-143-3p	0.16620965947010902
miR-19b-3p	miR-130a-3p	0.6492729074276573
miR-19b-3p	let-7b-5p	0.6895434631912831
miR-19b-3p	miR-140-5p	0.702349251438287
miR-19b-3p	miR-20b-5p	0.8143054159778398
miR-19b-3p	miR-24-3p	0.6353968120889526
miR-19b-3p	miR-16-5p	0.6513034070144981
miR-197-3p	SELPLG	0.1823974554545158
miR-197-3p	TNFRSF1B	0.14346944253656702
miR-197-3p	miR-223-3p	0.5521569040576404
miR-26a-5p	CXCL9	0.1211818777878575
miR-26a-5p	IL27	0.10760168815918991
miR-26a-5p	CX3CL1	0.09619016609400965
miR-26a-5p	PLAU	0.12165184889724578
miR-26a-5p	IL12B	0.17720382514164346
miR-26a-5p	IL6R	0.17459069744269406
miR-26a-5p	IL10	0.24132790791322556
