"SUID","interaction","MI","name","pvalue","selected","shared interaction","shared name"
"6667","interacts with","0.31827130118297686","MBL2 (interacts with) APOC2","1.432542973134332E-9","false","interacts with","MBL2 (interacts with) APOC2"
"6668","interacts with","0.29101216577083766","MBL2 (interacts with) HBA1","6.052689173845494E-4","false","interacts with","MBL2 (interacts with) HBA1"
"6669","interacts with","0.3108820456024705","MBL2 (interacts with) SHBG","0.0283586604778856","false","interacts with","MBL2 (interacts with) SHBG"
"6670","interacts with","0.28156613856515117","MBL2 (interacts with) ABCF1","0.0283586604778856","false","interacts with","MBL2 (interacts with) ABCF1"
"6671","interacts with","0.2875435440656798","MBL2 (interacts with) RBP4","1.3609158244776154E-10","false","interacts with","MBL2 (interacts with) RBP4"
"6672","interacts with","0.2914907046539275","MBL2 (interacts with) IGHG3","0.0283586604778856","false","interacts with","MBL2 (interacts with) IGHG3"
"6673","interacts with","0.11752543441769557","IL1A (interacts with) IL20RA","0.0","false","interacts with","IL1A (interacts with) IL20RA"
"6674","interacts with","0.12049738617871521","IL1A (interacts with) PDGFB","6.052689173845494E-4","false","interacts with","IL1A (interacts with) PDGFB"
"6675","interacts with","0.0759034867993949","IL1A (interacts with) PTX3","1.1835311908292567E-6","false","interacts with","IL1A (interacts with) PTX3"
"6676","interacts with","0.11624109969076168","IL1A (interacts with) IL2","0.0","false","interacts with","IL1A (interacts with) IL2"
"6677","interacts with","0.08380116247536648","IL1A (interacts with) IL4","6.052689173845494E-4","false","interacts with","IL1A (interacts with) IL4"
"6678","interacts with","0.11502988385365043","IL1A (interacts with) IL13","1.1835311908292567E-6","false","interacts with","IL1A (interacts with) IL13"
"6679","interacts with","0.10950372816690912","IL1A (interacts with) IL22RA1","1.3609158244776154E-10","false","interacts with","IL1A (interacts with) IL22RA1"
"6680","interacts with","0.11302016403169031","IL1A (interacts with) TNF","8.024779115700653E-5","false","interacts with","IL1A (interacts with) TNF"
"6681","interacts with","0.23543935414848072","CD244 (interacts with) CCL4L1","0.0283586604778856","false","interacts with","CD244 (interacts with) CCL4L1"
"6682","interacts with","0.27483528425352666","CD244 (interacts with) CXCL11","0.004285196681163228","false","interacts with","CD244 (interacts with) CXCL11"
"6683","interacts with","0.2834076721074812","CD244 (interacts with) PLAUR","0.004285196681163228","false","interacts with","CD244 (interacts with) PLAUR"
"6684","interacts with","0.5879180773146766","CD244 (interacts with) TGFB1","0.0","false","interacts with","CD244 (interacts with) TGFB1"
"6685","interacts with","0.3177659408887734","CD244 (interacts with) CD6","0.0","false","interacts with","CD244 (interacts with) CD6"
"6686","interacts with","0.34296730723158647","CD244 (interacts with) CD5","0.0","false","interacts with","CD244 (interacts with) CD5"
"6687","interacts with","0.24101196562693233","CD6 (interacts with) CXCL11","8.024779115700653E-5","false","interacts with","CD6 (interacts with) CXCL11"
"6688","interacts with","0.3887295139937062","CD6 (interacts with) CD5","0.0","false","interacts with","CD6 (interacts with) CD5"
"6689","interacts with","0.3040180281759702","CD6 (interacts with) PLAUR","0.0","false","interacts with","CD6 (interacts with) PLAUR"
"6690","interacts with","0.2796153516193612","CD6 (interacts with) TNFSF10","0.0","false","interacts with","CD6 (interacts with) TNFSF10"
"6691","interacts with","0.3177184179316351","CD6 (interacts with) CD244","0.0","false","interacts with","CD6 (interacts with) CD244"
"6692","interacts with","0.3052396236305624","AFM (interacts with) HBE1","6.052689173845494E-4","false","interacts with","AFM (interacts with) HBE1"
"6693","interacts with","0.2842271813713514","AFM (interacts with) APOD","1.3248157415546302E-7","false","interacts with","AFM (interacts with) APOD"
"6694","interacts with","0.40118273647081576","AFM (interacts with) CFH","0.004285196681163228","false","interacts with","AFM (interacts with) CFH"
"6695","interacts with","0.36943314565945673","AFM (interacts with) FCN3","0.0","false","interacts with","AFM (interacts with) FCN3"
"6696","interacts with","0.1778715867728331","AFM (interacts with) FGF21","1.0023796854330413E-5","false","interacts with","AFM (interacts with) FGF21"
"6697","interacts with","0.33566645292754066","AFM (interacts with) TF","8.024779115700653E-5","false","interacts with","AFM (interacts with) TF"
"6698","interacts with","0.41090164951666586","AFM (interacts with) C3","1.3248157415546302E-7","false","interacts with","AFM (interacts with) C3"
"6699","interacts with","0.3056538536019149","AFM (interacts with) Total-IGHG","6.052689173845494E-4","false","interacts with","AFM (interacts with) Total-IGHG"
"6700","interacts with","0.44546285629582055","AFM (interacts with) VTN","0.0","false","interacts with","AFM (interacts with) VTN"
"6701","interacts with","0.36514113522144104","AFM (interacts with) APOC2","0.0","false","interacts with","AFM (interacts with) APOC2"
"6702","interacts with","0.3651066469935004","AFM (interacts with) SERPINF1","0.0283586604778856","false","interacts with","AFM (interacts with) SERPINF1"
"6703","interacts with","0.20791703087382704","AFM (interacts with) PLAT","1.4096222855641827E-8","false","interacts with","AFM (interacts with) PLAT"
"6704","interacts with","0.28433747443697416","CCL8 (interacts with) CXCL11","0.0","false","interacts with","CCL8 (interacts with) CXCL11"
"6705","interacts with","0.26608254785203206","CCL8 (interacts with) CXCL10","1.3248157415546302E-7","false","interacts with","CCL8 (interacts with) CXCL10"
"6706","interacts with","0.2766553648919771","CCL8 (interacts with) CXCL9","0.0","false","interacts with","CCL8 (interacts with) CXCL9"
"6707","interacts with","0.12546543536147073","CCL8 (interacts with) TNFSF11","6.052689173845494E-4","false","interacts with","CCL8 (interacts with) TNFSF11"
"6708","interacts with","0.2737449699911433","CCL8 (interacts with) IL10RB","1.1835311908292567E-6","false","interacts with","CCL8 (interacts with) IL10RB"
"6709","interacts with","0.24975338939021277","CCL8 (interacts with) CCL7","0.0","false","interacts with","CCL8 (interacts with) CCL7"
"6710","interacts with","0.2563815932138274","CCL8 (interacts with) IL7","0.0","false","interacts with","CCL8 (interacts with) IL7"
"6711","interacts with","0.24126041907978596","CCL8 (interacts with) CCL13","0.0","false","interacts with","CCL8 (interacts with) CCL13"
"6712","interacts with","0.24602652099872688","CCL8 (interacts with) CCL11","0.004285196681163228","false","interacts with","CCL8 (interacts with) CCL11"
"6713","interacts with","0.22837766537448764","CCL8 (interacts with) CCL25","0.0283586604778856","false","interacts with","CCL8 (interacts with) CCL25"
"6714","interacts with","0.25009979270203864","CCL8 (interacts with) CCL4L1","1.1835311908292567E-6","false","interacts with","CCL8 (interacts with) CCL4L1"
"6715","interacts with","1.1820035502281474","EGF (interacts with) CD40LG","0.0","false","interacts with","EGF (interacts with) CD40LG"
"6716","interacts with","0.8262126728134056","EGF (interacts with) HSPB1","0.0","false","interacts with","EGF (interacts with) HSPB1"
"6717","interacts with","1.1145895399291124","EGF (interacts with) IKBKG","0.0","false","interacts with","EGF (interacts with) IKBKG"
"6718","interacts with","0.9015692985505124","EGF (interacts with) CD274","0.0","false","interacts with","EGF (interacts with) CD274"
"6719","interacts with","0.6984110420727787","EGF (interacts with) CASP8","0.0","false","interacts with","EGF (interacts with) CASP8"
"6720","interacts with","0.99559997577325","EGF (interacts with) CD40","1.3248157415546302E-7","false","interacts with","EGF (interacts with) CD40"
"6721","interacts with","0.8151049659656965","EGF (interacts with) PECAM1","1.432542973134332E-11","false","interacts with","EGF (interacts with) PECAM1"
"6722","interacts with","0.5913105970323901","EGF (interacts with) TNFSF14","0.0","false","interacts with","EGF (interacts with) TNFSF14"
"6723","interacts with","0.7787211131213678","SULT1A1 (interacts with) STAMBP","0.0","false","interacts with","SULT1A1 (interacts with) STAMBP"
"6724","interacts with","0.517951744500908","SULT1A1 (interacts with) CXCL5","0.0","false","interacts with","SULT1A1 (interacts with) CXCL5"
"6725","interacts with","0.4642063378924836","APOM (interacts with) APOC1","0.0","false","interacts with","APOM (interacts with) APOC1"
"6726","interacts with","0.4307696794173157","APOM (interacts with) APOA2","0.0","false","interacts with","APOM (interacts with) APOA2"
"6727","interacts with","0.3591948399704545","APOM (interacts with) APOA1","1.432542973134332E-9","false","interacts with","APOM (interacts with) APOA1"
"6728","interacts with","0.3445479637828016","APOM (interacts with) HPR","0.0","false","interacts with","APOM (interacts with) HPR"
"6729","interacts with","0.3456484559282474","APOM (interacts with) APOD","0.0","false","interacts with","APOM (interacts with) APOD"
"6730","interacts with","0.334796149233249","APOM (interacts with) SERPING1","6.052689173845494E-4","false","interacts with","APOM (interacts with) SERPING1"
"6731","interacts with","0.3041232054535003","APOM (interacts with) ABCF1","0.0","false","interacts with","APOM (interacts with) ABCF1"
"6732","interacts with","0.3973804833652268","APOM (interacts with) ITIH1","0.0","false","interacts with","APOM (interacts with) ITIH1"
"6733","interacts with","0.23422308880358025","IL17C (interacts with) TGFA","1.432542973134332E-9","false","interacts with","IL17C (interacts with) TGFA"
"6734","interacts with","0.15931300464356848","IL17C (interacts with) IL10RA","0.0","false","interacts with","IL17C (interacts with) IL10RA"
